Time,Stock,I_t,Price
0,100,0,3.603369
0.010000,103.734848,1,7.232210
0.020000,103.253349,2,5.562380
0.030000,102.122101,3,5.484342
0.040000,103.183594,4,6.305594
0.050000,102.879669,5,6.465228
0.060000,104.097725,6,7.627640
0.070000,106.791451,7,7.329330
0.080000,108.830879,8,9.898589
0.090000,109.654716,9,11.190983
0.100000,111.031586,10,11.946488
0.110000,109.138428,11,10.179750
0.120000,107.480286,12,7.722179
0.130000,109.943619,13,10.249891
0.140000,111.870926,14,10.888295
0.150000,113.021614,15,12.338040
0.160000,117.272041,16,18.068424
0.170000,116.055740,17,15.300244
0.180000,115.751518,18,15.812361
0.190000,115.439415,19,14.412623
0.200000,118.585640,20,19.192440
0.210000,122.228889,20,25.027719
0.220000,123.128929,20,27.952795
0.230000,127.108192,20,29.837238
0.240000,129.919357,20,36.121441
0.250000,124.432831,20,29.568295
0.260000,125.058037,20,28.704189
0.270000,123.758858,20,26.240473
0.280000,123.619667,20,26.143856
0.290000,119.715027,21,20.617073
0.300000,119.466751,22,21.245918
0.310000,118.373093,23,18.057129
0.320000,120.389511,23,22.033985
0.330000,124.435760,23,26.917122
0.340000,125.436440,23,29.492458
0.350000,124.036110,23,27.025921
0.360000,127.235886,23,30.812937
0.370000,125.914322,23,28.687044
0.380000,129.705231,23,34.248219
0.390000,131.393646,23,35.909798
0.400000,136.393402,23,40.777596
0.410000,135.530563,23,40.295650
0.420000,138.222183,23,43.580833
0.430000,133.902695,23,37.954750
0.440000,131.961975,23,36.968845
0.450000,129.221237,23,32.427704
0.460000,126.306412,23,29.359936
0.470000,124.789192,23,27.320381
0.480000,126.281898,23,29.014488
0.490000,122.949982,23,24.902798
0.500000,125.031509,23,28.046825
0.510000,123.046829,23,24.636543
0.520000,121.401237,23,22.505165
0.530000,120.978065,23,22.422398
0.540000,121.295197,23,22.519033
0.550000,113.672287,24,10.803762
0.560000,115.679901,25,13.863508
0.570000,114.816856,26,11.909875
0.580000,115.991508,27,14.611355
0.590000,114.718559,28,11.436607
0.600000,114.434685,29,11.136780
0.610000,113.475647,30,9.034652
0.620000,113.182800,31,8.440831
0.630000,112.469582,32,7.614686
0.640000,111.835327,33,6.070671
0.650000,110.093246,34,4.157841
0.660000,110.995285,35,4.897575
0.670000,111.703194,36,4.606313
0.680000,107.489761,37,1.515988
0.690000,107.117981,38,1.116892
0.700000,108.244720,39,1.328762
0.710000,105.233566,40,0.468564
